Round of 32,Round of 16,Elite 8,Final 4,Championship,Champion
Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
Colorado,Cal,Villanova,Oregon,UNC,
Maryland,Miami,Oregon ,UNC,,
Cal,Villanova,Oklahoma,UVA,,
Wichita St.,Oregon,UNC,,,
Miami,Duke,Xavier,,,
Iowa,Texas A&M,UVA,,,
Villanova,Oklahoma,Michigan State,,,
Oregon,UNC,,,,
Saint Joe's,Kentucky,,,,
Baylor,West Virginia,,,,
Duke,Xavier,,,,
Texas,UVA,,,,
Texas A&M,Iowa State,,,,
Oregon State,Utah,,,,
Oklahoma,Michigan State,,,,
UNC,,,,,
USC,,,,,
Indiana,,,,,
Kentucky,,,,,
Notre Dame,,,,,
West Virginia,,,,,
Wisconsin ,,,,,
Xavier,,,,,
UVA,,,,,
Texas Tech,,,,,
Purdue,,,,,
Iowa State,,,,,
Seton Hall,,,,,
Utah,,,,,
Dayton,,,,,
Michigan State,,,,,
