Round of 32,Round of 16,Elite 8,Final 4,Championship,Champion
Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
UConn,S. Dakota St.,Wichita St.,Oklahoma,UNC,
S. Dakota St.,Wichita St.,Oregon ,UNC,,
Hawaii,Villanova,Oklahoma,Michigan State,,
Wichita St.,Oregon,UNC,,,
Buffalo,Yale,W. Virginia,,,
Temple,N. Iowa,UVA,,,
Villanova,Oklahoma,Michigan State,,,
Oregon,UNC,,,,
Cincinnati,Chatt.,,,,
Yale,W. Virginia,,,,
UNC-Wilm.,Pittsburgh,,,,
N. Iowa,UVA,,,,
Green Bay,Ark.-LR,,,,
VCU,Gonzaga,,,,
Oklahoma,Michigan State,,,,
UNC,,,,,
Providence,,,,,
Chatt.,,,,,
Stony Brook,,,,,
Michigan State,,,,,
W. Virginia,,,,,
Pittsburgh,,,,,
Weber State,,,,,
UVA,,,,,
Butler,,,,,
Ark.-LR,,,,,
Iona,,,,,
Gonzaga,,,,,
Fresno State,,,,,
Syracuse,,,,,
Michigan State,,,,,
